1> BEGIN1,2016-08-09 09:46:13.00340
1> END1,2016-08-09 09:46:14.00040
1> BEGIN2,2016-08-09 09:46:14.00041
1> END2,2016-08-09 09:46:14.00309
1> BEGIN3,2016-08-09 09:46:14.00309
1> END3,2016-08-09 09:46:14.00375
1> BEGIN4,2016-08-09 09:46:14.00375
1> END4,2016-08-09 09:46:14.00435
1> BEGIN5,2016-08-09 09:46:14.00435
1> END5,2016-08-09 09:46:14.00469
1> BEGIN6,2016-08-09 09:46:14.00469
1> END6,2016-08-09 09:46:14.00477
1> BEGIN7,2016-08-09 09:46:14.00477
1> END7,2016-08-09 09:46:14.00506
1> BEGIN8,2016-08-09 09:46:14.00506
1> END8,2016-08-09 09:46:14.00541
1> BEGIN9,2016-08-09 09:46:14.00541
1> END9,2016-08-09 09:46:14.00572
1> BEGIN10,2016-08-09 09:46:14.00573
1> END10,2016-08-09 09:46:14.00591
1> BEGIN11,2016-08-09 09:46:14.00591
1> END11,2016-08-09 09:46:14.00614
1> BEGIN12,2016-08-09 09:46:14.00614
1> END12,2016-08-09 09:46:14.00632
1> BEGIN13,2016-08-09 09:46:14.00632
1> END13,2016-08-09 09:46:14.00640
1> BEGIN14,2016-08-09 09:46:14.00640
1> END14,2016-08-09 09:46:14.00687
1> BEGIN15,2016-08-09 09:46:14.00687
1> END15,2016-08-09 09:46:14.00741
1> BEGIN16,2016-08-09 09:46:14.00741
1> END16,2016-08-09 09:46:14.00771
1> BEGIN17,2016-08-09 09:46:14.00771
1> END17,2016-08-09 09:46:14.00780
1> BEGIN18,2016-08-09 09:46:14.00780
1> END18,2016-08-09 09:46:14.00794
1> BEGIN19,2016-08-09 09:46:14.00794
1> END19,2016-08-09 09:46:14.00810
1> BEGIN20,2016-08-09 09:46:14.00810
1> END20,2016-08-09 09:46:14.00815
1> BEGIN21,2016-08-09 09:46:14.00815
1> END21,2016-08-09 09:46:14.00854
1> BEGIN22,2016-08-09 09:46:14.00855
1> END22,2016-08-09 09:46:14.00873
1> BEGIN23,2016-08-09 09:46:14.00874
1> END23,2016-08-09 09:46:14.00922
1> BEGIN24,2016-08-09 09:46:14.00922
1> END24,2016-08-09 09:46:14.00942
1> BEGIN25,2016-08-09 09:46:14.00942
1> END25,2016-08-09 09:46:14.00970
1> BEGIN26,2016-08-09 09:46:14.00970
1> END26,2016-08-09 09:46:15.00007
1> BEGIN27,2016-08-09 09:46:15.00008
1> END27,2016-08-09 09:46:15.00042
1> BEGIN28,2016-08-09 09:46:15.00042
1> END28,2016-08-09 09:46:15.00063
1> BEGIN29,2016-08-09 09:46:15.00064
1> END29,2016-08-09 09:46:15.00100
1> BEGIN30,2016-08-09 09:46:15.00100
1> END30,2016-08-09 09:46:15.00142
1> BEGIN31,2016-08-09 09:46:15.00142
1> END31,2016-08-09 09:46:15.00189
1> BEGIN32,2016-08-09 09:46:15.00189
1> END32,2016-08-09 09:46:15.00226
1> BEGIN33,2016-08-09 09:46:15.00227
1> END33,2016-08-09 09:46:15.00268
1> BEGIN34,2016-08-09 09:46:15.00268
1> END34,2016-08-09 09:46:15.00305
1> BEGIN35,2016-08-09 09:46:15.00305
1> END35,2016-08-09 09:46:15.00323
1> BEGIN36,2016-08-09 09:46:15.00323
1> END36,2016-08-09 09:46:15.00356
1> BEGIN37,2016-08-09 09:46:15.00356
1> END37,2016-08-09 09:46:15.00403
1> BEGIN38,2016-08-09 09:46:15.00404
1> END38,2016-08-09 09:46:15.00434
1> BEGIN39,2016-08-09 09:46:15.00434
1> END39,2016-08-09 09:46:15.00472
1> BEGIN40,2016-08-09 09:46:15.00472
1> END40,2016-08-09 09:46:15.00491
